iter	Passed	Remaining
0	180	180345
1	214	106820
2	252	84007
3	290	72377
4	318	63331
5	349	57982
6	371	52756
7	404	50215
8	438	48247
9	471	46651
10	504	45350
11	535	44099
12	568	43151
13	600	42297
14	632	41564
15	666	40986
16	699	40455
17	724	39550
18	756	39082
19	786	38534
20	817	38124
21	853	37962
22	885	37601
23	920	37441
24	952	37157
25	987	36981
26	1017	36652
27	1057	36703
28	1095	36687
29	1138	36807
30	1173	36693
31	1218	36845
32	1247	36562
33	1281	36399
34	1313	36210
35	1349	36141
36	1376	35834
37	1411	35736
38	1450	35745
39	1533	36805
40	1583	37036
41	1616	36866
42	1657	36885
43	1684	36593
44	1712	36352
45	1744	36174
46	1777	36043
47	1805	35803
48	1836	35650
49	1871	35557
50	1906	35482
51	1942	35411
52	1973	35257
53	2000	35042
54	2034	34953
55	2059	34720
56	2091	34595
57	2121	34459
58	2146	34233
59	2197	34432
60	2237	34449
61	2282	34529
62	2323	34554
63	2362	34544
64	2401	34551
65	2432	34423
66	2460	34256
67	2491	34149
68	2530	34144
69	2573	34195
70	2616	34229
71	2658	34270
72	2700	34287
73	2733	34202
74	2766	34121
75	2799	34034
76	2826	33876
77	2855	33755
78	2889	33688
79	2921	33593
80	2959	33577
81	3006	33662
82	3046	33659
83	3082	33609
84	3121	33605
85	3161	33595
86	3191	33491
87	3220	33373
88	3259	33362
89	3308	33448
90	3350	33469
91	3414	33697
92	3449	33644
93	3477	33517
94	3508	33427
95	3543	33363
96	3575	33286
97	3610	33231
98	3653	33246
99	3703	33327
100	3740	33298
101	3778	33269
102	3811	33197
103	3844	33121
104	3879	33070
105	3919	33058
106	3962	33071
107	4022	33219
108	4065	33228
109	4097	33152
110	4132	33098
111	4162	33000
112	4197	32947
113	4227	32856
114	4257	32763
115	4290	32694
116	4318	32590
117	4355	32558
118	4384	32460
119	4429	32480
120	4480	32548
121	4516	32503
122	4542	32385
123	4573	32310
124	4603	32225
125	4637	32168
126	4669	32096
127	4698	32005
128	4728	31928
129	4755	31824
130	4787	31756
131	4818	31683
132	4845	31585
133	4872	31488
134	4901	31403
135	4933	31343
136	4961	31254
137	4991	31177
138	5018	31085
139	5049	31015
140	5073	30906
141	5097	30802
142	5122	30696
143	5150	30616
144	5176	30520
145	5215	30508
146	5246	30444
147	5273	30356
148	5300	30272
149	5327	30189
150	5359	30132
151	5396	30106
152	5427	30044
153	5451	29948
154	5485	29904
155	5509	29808
156	5532	29708
157	5564	29652
158	5584	29537
159	5609	29451
160	5643	29408
161	5674	29354
162	5707	29308
163	5740	29264
164	5770	29203
165	5791	29099
166	5817	29019
167	5846	28954
168	5879	28911
169	5924	28923
170	5954	28866
171	5979	28784
172	6005	28708
173	6030	28628
174	6054	28543
175	6084	28484
176	6112	28419
177	6144	28374
178	6176	28330
179	6204	28263
180	6232	28200
181	6254	28109
182	6282	28050
183	6316	28011
184	6348	27966
185	6381	27927
186	6425	27936
187	6460	27905
188	6505	27913
189	6544	27901
190	6595	27935
191	6622	27871
192	6652	27817
193	6689	27793
194	6715	27723
195	6744	27664
196	6764	27574
197	6794	27522
198	6830	27495
199	6862	27450
200	6892	27398
201	6920	27340
202	6947	27278
203	6977	27225
204	7006	27172
205	7031	27101
206	7059	27043
207	7090	26996
208	7122	26955
209	7160	26938
210	7197	26912
211	7227	26862
212	7262	26832
213	7303	26825
214	7327	26753
215	7355	26697
216	7381	26636
217	7415	26601
218	7447	26560
219	7475	26504
220	7507	26462
221	7537	26415
222	7579	26408
223	7611	26369
224	7640	26315
225	7669	26265
226	7699	26220
227	7727	26166
228	7761	26130
229	7813	26158
230	7848	26126
231	7886	26108
232	7925	26089
233	7962	26065
234	7997	26034
235	8031	25998
236	8059	25947
237	8090	25904
238	8116	25845
239	8141	25782
240	8169	25727
241	8198	25679
242	8226	25628
243	8254	25576
244	8280	25518
245	8309	25468
246	8343	25435
247	8369	25379
248	8395	25321
249	8419	25259
250	8442	25193
251	8462	25120
252	8491	25071
253	8523	25034
254	8551	24984
255	8580	24937
256	8642	24985
257	8669	24933
258	8698	24885
259	8728	24842
260	8750	24777
261	8783	24742
262	8810	24690
263	8838	24639
264	8862	24579
265	8892	24537
266	8923	24498
267	8954	24456
268	8976	24393
269	9008	24355
270	9039	24316
271	9070	24276
272	9103	24242
273	9129	24190
274	9154	24134
275	9185	24096
276	9216	24056
277	9248	24018
278	9273	23964
279	9295	23902
280	9327	23865
281	9352	23812
282	9381	23767
283	9412	23730
284	9443	23692
285	9481	23669
286	9515	23638
287	9540	23586
288	9568	23539
289	9600	23505
290	9636	23478
291	9663	23431
292	9692	23386
293	9720	23342
294	9751	23304
295	9779	23259
296	9807	23214
297	9837	23174
298	9867	23133
299	9898	23096
300	9929	23058
301	9960	23021
302	9993	22989
303	10024	22950
304	10047	22895
305	10077	22855
306	10105	22811
307	10133	22767
308	10161	22723
309	10191	22685
310	10217	22636
311	10248	22599
312	10279	22563
313	10311	22526
314	10337	22480
315	10369	22444
316	10402	22413
317	10426	22360
318	10451	22312
319	10477	22265
320	10503	22217
321	10533	22179
322	10556	22127
323	10584	22083
324	10609	22036
325	10644	22006
326	10678	21978
327	10707	21937
328	10736	21896
329	10769	21866
330	10800	21830
331	10830	21791
332	10862	21758
333	10889	21713
334	10917	21671
335	10937	21615
336	10965	21573
337	10990	21525
338	11020	21488
339	11058	21465
340	11092	21437
341	11122	21399
342	11155	21368
343	11189	21337
344	11223	21308
345	11251	21267
346	11282	21232
347	11311	21193
348	11343	21159
349	11376	21128
350	11408	21094
351	11441	21062
352	11478	21038
353	11511	21007
354	11544	20975
355	11576	20940
356	11610	20911
357	11645	20883
358	11676	20848
359	11702	20803
360	11726	20756
361	11754	20716
362	11781	20674
363	11809	20634
364	11842	20602
365	11866	20555
366	11901	20526
367	11931	20491
368	11959	20451
369	11989	20415
370	12021	20381
371	12053	20348
372	12090	20323
373	12118	20284
374	12143	20238
375	12172	20200
376	12203	20166
377	12228	20122
378	12257	20083
379	12283	20041
380	12310	20000
381	12342	19967
382	12370	19928
383	12401	19893
384	12451	19890
385	12487	19862
386	12521	19834
387	12549	19795
388	12580	19760
389	12607	19719
390	12637	19684
391	12664	19643
392	12698	19612
393	12723	19570
394	12753	19534
395	12793	19512
396	12825	19480
397	12847	19432
398	12880	19400
399	12936	19404
400	12960	19359
401	12984	19315
402	13015	19280
403	13039	19236
404	13066	19196
405	13092	19155
406	13120	19117
407	13143	19071
408	13175	19038
409	13198	18993
410	13222	18948
411	13255	18918
412	13282	18878
413	13306	18835
414	13335	18798
415	13362	18758
416	13396	18730
417	13423	18690
418	13448	18648
419	13482	18618
420	13530	18608
421	13566	18581
422	13586	18533
423	13613	18493
424	13647	18464
425	13679	18432
426	13707	18394
427	13742	18365
428	13763	18319
429	13794	18285
430	13820	18245
431	13862	18226
432	13920	18228
433	13948	18190
434	13973	18148
435	14026	18143
436	14060	18114
437	14091	18081
438	14116	18039
439	14144	18001
440	14169	17961
441	14201	17928
442	14228	17890
443	14253	17848
444	14280	17810
445	14301	17764
446	14334	17733
447	14358	17691
448	14388	17657
449	14415	17619
450	14444	17582
451	14473	17547
452	14499	17508
453	14531	17475
